supplier_id,order_date,order_quantity,promised_delivery_date,actual_delivery_date,on_time,quality_rating,order_value
SUP_0001,2023-11-22,3819,2023-12-19,2023-12-01,True,0.8625282892802689,96838.51539302514
SUP_0001,2023-12-18,4880,2023-12-15,2023-11-27,True,0.996765326187325,23923.295160539834
SUP_0001,2024-01-03,6051,2024-01-04,2024-01-21,True,0.8123441199904051,37578.71146910665
SUP_0001,2023-12-31,6339,2024-01-07,2023-12-27,True,0.8451968104539241,1526.0340911662488
SUP_0001,2024-01-17,1605,2024-01-11,2024-01-10,True,0.9299545148597754,58787.64518540503
SUP_0001,2024-01-28,3042,2024-02-01,2024-02-22,True,0.777469305899848,60935.76399325114
SUP_0001,2024-02-09,9095,2024-02-05,2024-01-29,True,0.9274801876168177,31383.54680626243
SUP_0001,2024-02-17,3440,2024-02-06,2024-02-15,True,0.8765514805476966,19351.905129168637
SUP_0001,2024-02-01,1054,2024-01-28,2024-02-23,False,0.9173033218988619,74829.58452853648
SUP_0001,2024-02-04,3901,2024-01-28,2024-02-11,True,0.9465492839756078,66291.56609543625
SUP_0001,2024-02-05,483,2024-02-01,2024-02-18,True,0.9817205438350876,64001.05387180406
SUP_0001,2024-01-20,6211,2024-02-16,2024-02-19,True,0.8964127226068896,82552.97218411317
SUP_0001,2024-01-29,3146,2024-02-16,2024-02-08,True,0.838456878276582,98347.26002502827
SUP_0001,2024-03-18,4600,2024-02-28,2024-03-09,True,0.7116937961983391,67017.89173926014
SUP_0001,2024-02-24,2203,2024-03-10,2024-03-21,True,0.920868664758565,44205.54027422971
SUP_0001,2024-03-02,6133,2024-02-27,2024-03-02,True,0.8730107196573269,7658.3354827694175
SUP_0001,2024-03-05,9967,2024-03-07,2024-03-23,True,0.941999515908045,85944.30382971569
SUP_0001,2024-03-02,7102,2024-02-28,2024-03-09,True,0.7954313340710416,96154.78215530635
SUP_0001,2024-02-29,3064,2024-03-15,2024-03-16,True,0.7938333967631062,65779.85854377925
SUP_0001,2024-04-02,1019,2024-04-13,2024-04-10,True,0.7116814050062996,83874.84315523457
SUP_0001,2024-05-08,2358,2024-05-18,2024-05-17,True,0.8114457830978302,62234.17881310037
SUP_0001,2024-05-15,5096,2024-05-14,2024-05-14,False,0.8948526789122342,80636.99190806986
SUP_0001,2024-05-08,7945,2024-05-09,2024-05-04,False,0.9498495705607227,36880.70093896708
SUP_0001,2024-05-10,7131,2024-05-18,2024-05-04,True,0.8501078338646681,69397.51367853145
SUP_0001,2024-05-13,2605,2024-05-17,2024-05-12,True,0.9430775760098594,41968.91906675879
SUP_0001,2024-04-26,7186,2024-05-12,2024-05-22,False,0.7181814723144729,68854.13900115457
SUP_0001,2024-04-19,8666,2024-05-06,2024-05-08,True,0.9408432804473501,96131.09454595365
SUP_0001,2024-04-21,7423,2024-05-08,2024-05-06,True,0.9501375852756482,64615.18342203977
SUP_0001,2024-05-10,9902,2024-05-03,2024-05-05,True,0.7155968055933122,4142.632771925873
SUP_0001,2024-04-26,7229,2024-05-12,2024-05-13,False,0.9648744449556166,66245.495603091
SUP_0001,2024-05-27,2359,2024-05-30,2024-06-02,True,0.880911866515985,62280.16490516023
SUP_0001,2024-06-02,9176,2024-06-08,2024-06-12,True,0.8306180938527207,40200.19728601289
SUP_0001,2024-06-04,3235,2024-06-04,2024-06-22,True,0.8655631409263557,79151.53276944498
SUP_0001,2024-05-25,2511,2024-05-27,2024-06-19,True,0.7805686502360928,10996.832574958347
SUP_0001,2024-06-07,6728,2024-06-14,2024-05-26,False,0.7498065470928582,12328.720342623497
SUP_0001,2024-06-28,8401,2024-07-02,2024-07-21,True,0.7389036934672706,26389.84304065983
SUP_0001,2024-08-08,5557,2024-07-30,2024-08-15,True,0.7248210506854569,48969.261512921075
SUP_0001,2024-08-09,2111,2024-08-07,2024-08-21,True,0.8742097253662855,51045.367278596525
SUP_0001,2024-07-31,7622,2024-08-05,2024-08-07,True,0.9626216875365503,44732.902672133
SUP_0001,2024-09-10,787,2024-09-10,2024-09-09,False,0.8992605139215357,20725.349486423092
SUP_0001,2024-08-31,7074,2024-09-15,2024-08-28,True,0.9295480986450299,94101.50152277395
SUP_0001,2024-09-11,7224,2024-09-10,2024-09-03,True,0.8477707212259893,48834.905468053184
SUP_0001,2024-09-04,6687,2024-08-30,2024-09-15,False,0.8220414402855171,33495.077462155605
SUP_0001,2024-08-20,286,2024-08-31,2024-09-03,False,0.9453568916965088,51504.689665176
SUP_0001,2024-10-09,8511,2024-10-13,2024-10-20,False,0.8472295020137082,41249.12159700232
SUP_0001,2024-10-01,8697,2024-09-28,2024-09-28,True,0.8113508548058594,78778.6672493836
SUP_0001,2024-09-18,4582,2024-10-04,2024-10-07,True,0.8719669583348775,34427.280897924225
SUP_0001,2024-10-05,3516,2024-10-01,2024-10-20,True,0.8565859010435691,59304.374419610846
SUP_0001,2024-09-19,4720,2024-10-05,2024-09-30,True,0.8881986805272034,75276.31062994538
SUP_0001,2024-10-07,3079,2024-09-23,2024-09-21,True,0.7281329578771049,49126.918036277486
SUP_0001,2024-10-03,5950,2024-10-05,2024-10-13,True,0.762262280861711,24576.518712903937
SUP_0001,2024-10-12,4976,2024-09-29,2024-09-25,True,0.9281726927365846,16294.728196487655
SUP_0001,2024-11-05,1747,2024-11-14,2024-11-06,True,0.88453874216236,91149.96600422775
SUP_0001,2024-10-25,3535,2024-11-12,2024-11-12,True,0.7835412186782656,85445.21753772856
SUP_0001,2024-10-24,1817,2024-11-06,2024-10-21,True,0.9261202211284014,22334.575127887554
SUP_0001,2024-10-30,1604,2024-11-04,2024-11-03,False,0.7567417300068954,92314.38098234018
SUP_0001,2024-10-27,9636,2024-11-02,2024-10-28,True,0.7166575098427451,57278.024952286054
SUP_0001,2024-11-01,1604,2024-11-12,2024-11-10,True,0.9782065541758891,37222.69514613116
SUP_0001,2024-10-21,8200,2024-11-04,2024-11-08,True,0.9325732155504848,24208.134401139956
SUP_0001,2024-12-03,9162,2024-12-08,2024-11-25,True,0.7952649100772765,84962.81426654737
SUP_0001,2024-12-07,7638,2024-12-11,2024-11-23,True,0.973879301432407,34637.25398758554
SUP_0001,2024-11-27,407,2024-12-08,2024-11-28,True,0.830693437136953,79653.6009674971
SUP_0001,2024-12-30,6703,2024-12-29,2025-01-12,True,0.9785891686346182,7119.03760823304
SUP_0001,2024-12-23,283,2025-01-02,2025-01-12,True,0.8346336411983843,91410.03536172418
SUP_0001,2024-12-17,1373,2025-01-12,2024-12-29,False,0.8942549394530089,28031.02131345287
SUP_0001,2025-01-02,8102,2024-12-26,2024-12-22,True,0.7166816565041382,1680.918259745282
SUP_0001,2025-02-05,6611,2025-01-21,2025-02-09,True,0.7553897372042108,34868.65446549581
SUP_0001,2025-02-07,5652,2025-02-09,2025-02-09,True,0.8457452286737894,12575.430017013756
SUP_0001,2025-02-11,8285,2025-02-03,2025-02-07,True,0.8896714452603582,58776.898663801876
SUP_0001,2025-02-08,2772,2025-01-31,2025-02-03,True,0.7045530646860481,58560.29345262003
SUP_0001,2025-02-03,4159,2025-01-23,2025-02-09,True,0.9099069727176126,41674.85209220915
SUP_0001,2025-01-23,4540,2025-02-09,2025-02-04,True,0.7761813315771088,78218.8443641439
SUP_0001,2025-02-08,1816,2025-02-12,2025-01-23,True,0.9941704681182171,22254.89285887219
SUP_0001,2025-03-14,5998,2025-03-03,2025-03-01,False,0.9368476895272158,75067.92181238087
SUP_0001,2025-03-13,7136,2025-03-13,2025-03-17,False,0.7779012516851241,97002.63964699973
SUP_0001,2025-03-05,1819,2025-03-06,2025-02-19,True,0.7158295773578808,69509.11433871882
SUP_0001,2025-04-04,5554,2025-04-07,2025-04-10,True,0.8052457328005047,36893.41985935036
SUP_0001,2025-03-29,6004,2025-04-07,2025-04-10,True,0.725406502562592,47202.61896755643
SUP_0001,2025-03-28,4624,2025-03-27,2025-03-22,True,0.8142973821005199,81032.16815047541
SUP_0001,2025-04-05,3680,2025-04-03,2025-04-05,True,0.7612740276736503,2658.8741447458588
SUP_0001,2025-03-19,8084,2025-04-13,2025-04-13,True,0.9811326834759031,31868.411558621094
SUP_0001,2025-04-25,7666,2025-05-09,2025-04-29,True,0.9080005461204119,65175.3538408276
SUP_0001,2025-05-03,1735,2025-04-23,2025-05-14,True,0.9444013014129967,61571.27099021892
SUP_0001,2025-04-30,1173,2025-04-21,2025-04-21,True,0.8239517551623159,67906.46958530329
SUP_0001,2025-04-27,2056,2025-05-06,2025-05-03,True,0.7545336601652085,16524.457826363763
SUP_0001,2025-05-11,4624,2025-05-03,2025-04-20,True,0.7694141909130544,50740.30142947126
SUP_0001,2025-04-24,3658,2025-05-03,2025-04-20,False,0.980291234250247,91725.63390867456
SUP_0001,2025-05-18,8169,2025-06-03,2025-05-30,True,0.9745182197551667,25865.75748729173
SUP_0001,2025-05-31,1547,2025-05-29,2025-05-23,False,0.7645613439199578,88551.15989511959
SUP_0001,2025-05-16,3277,2025-05-31,2025-05-29,False,0.9897241629459242,40120.3744497582
SUP_0001,2025-05-22,9270,2025-05-25,2025-06-09,True,0.8321720584036922,14108.056736149007
SUP_0001,2025-06-04,2906,2025-05-31,2025-05-31,False,0.7077308796293053,60749.35184361097
SUP_0001,2025-06-05,324,2025-06-07,2025-06-04,True,0.7594286550160868,7503.5195324762635
SUP_0001,2025-06-11,3346,2025-05-25,2025-06-02,True,0.9750826144602748,77852.75727407883
SUP_0001,2025-05-15,7515,2025-06-05,2025-06-02,True,0.9693893940543366,9328.638563678902
SUP_0001,2025-06-08,6882,2025-05-29,2025-06-12,True,0.8807348325899763,17138.892267673735
SUP_0001,2025-07-03,7481,2025-07-02,2025-06-24,True,0.7694425641295894,86972.54287074647
SUP_0001,2025-07-29,5974,2025-08-06,2025-07-20,True,0.874975717693767,2118.951122313225
SUP_0001,2025-07-24,4686,2025-08-03,2025-08-01,True,0.876505666294946,40370.75702887242
SUP_0001,2025-07-19,5977,2025-07-21,2025-08-12,True,0.9128316593901924,27877.70825172842
SUP_0001,2025-09-10,116,2025-09-04,2025-09-09,True,0.7262773892217839,9901.708241110526
SUP_0001,2025-08-15,2943,2025-09-09,2025-09-14,True,0.7861980149526706,28694.85080913803
SUP_0001,2025-08-25,1069,2025-08-25,2025-08-29,False,0.9277260797666915,73025.3937922844
SUP_0001,2025-08-26,5655,2025-09-06,2025-08-29,True,0.9416296987899959,76255.93204922574
SUP_0001,2025-09-14,4069,2025-10-09,2025-10-01,True,0.9482069664478436,58899.02453719932
SUP_0001,2025-09-29,4666,2025-09-19,2025-09-28,True,0.9928098095800612,35136.943166870806
SUP_0001,2025-10-16,6482,2025-11-01,2025-11-09,True,0.8636746365376199,11453.56305168736
SUP_0001,2025-10-15,9207,2025-11-09,2025-11-14,True,0.7246071055634412,4458.985394192856
SUP_0001,2025-10-22,6029,2025-10-26,2025-10-25,True,0.7351840443401335,17737.11606553191
