country,political_stability,trade_freedom,regulatory_risk,currency_stability,overall_risk_score,last_updated
USA,0.9313581377244049,0.8840161118168435,0.8894008819337331,0.8771241298410404,0.4359171206167534,2025-11-10
China,0.7134464837962464,0.7966085525483921,0.2549190714219868,0.7722484795519325,0.6255924970835658,2025-11-10
India,0.41712491280074226,0.8683790304553343,0.6086409463598781,0.9761108928487974,0.22545337892413503,2025-11-10
Germany,0.48572829628882686,0.7609323275798945,0.4075919385441515,0.857212082035621,0.6554031695131587,2025-11-10
Japan,0.3717611748465321,0.7083126785240607,0.5562233889137391,0.6846403851077705,0.7597549175418035,2025-11-10
South Korea,0.8792544239112547,0.8183256291457821,0.7000286450144984,0.7308580719065596,0.7525967126579456,2025-11-10
Mexico,0.7862167990772997,0.8373886369934899,0.8031836326511417,0.6370357946710955,0.6842425423200218,2025-11-10
Vietnam,0.43666842206954437,0.6072051713469327,0.4349273179888899,0.9892627341945703,0.7139223342487562,2025-11-10
Thailand,0.7908189031131818,0.8362340569692341,0.5934509560817998,0.9735453335542595,0.497755251729417,2025-11-10
Brazil,0.5663623969089262,0.49782120215895465,0.7503439565827406,0.8672219660377958,0.43061302311448096,2025-11-10
Italy,0.31763538977146055,0.9033983966308065,0.20799258841785156,0.8518498898145255,0.7821542658356344,2025-11-10
UK,0.6063629297037424,0.5409840429975716,0.6934097070303672,0.9085640710077926,0.5278581896467085,2025-11-10
Russia,0.9769246926793023,0.43100123299477666,0.5533569188131697,0.859226973661275,0.7175842826895074,2025-11-10
Turkey,0.425478928335453,0.8800020890582089,0.5868949530029817,0.6982768409949816,0.27902901714745615,2025-11-10
Poland,0.9057070312362387,0.4943639249078292,0.41685150144636945,0.6450227659812184,0.7228484205145127,2025-11-10
Czech Republic,0.7708920959462285,0.8780088383148235,0.3753275291547493,0.8124370498034994,0.5430475898862492,2025-11-10
Malaysia,0.8829812637517898,0.9436522362887563,0.20850974003417078,0.8370099595293963,0.23110147947183743,2025-11-10
