supplier_id,event_date,risk_factor,severity,impact_score,resolved
SUP_0001,2024-06-13,Supply Chain Disruption,Low,0.5891843956083814,True
SUP_0002,2025-09-11,Geopolitical Tension,Medium,0.8649778343325958,True
SUP_0002,2024-01-02,Geopolitical Tension,Critical,0.4705889874260577,True
SUP_0003,2025-07-02,Trade Restrictions,Medium,0.8257632555095555,True
SUP_0005,2024-06-13,Labor Disputes,Medium,0.3971935583843478,False
SUP_0005,2024-08-08,Supply Chain Disruption,High,0.2843931467356413,False
SUP_0006,2025-03-22,Geopolitical Tension,Critical,0.7948112286789913,True
SUP_0006,2024-12-09,Financial Instability,Critical,0.5175382391310995,False
SUP_0006,2024-09-15,Financial Instability,Medium,0.5480312572308612,True
SUP_0007,2025-04-20,Geopolitical Tension,Critical,0.35842416227611795,False
SUP_0007,2025-08-26,Labor Disputes,Low,0.6711241757952734,False
SUP_0007,2024-12-30,Currency Fluctuation,High,0.9235810615663389,True
SUP_0007,2024-07-24,Geopolitical Tension,Critical,0.7263092063519222,False
SUP_0007,2025-11-08,Currency Fluctuation,Critical,0.8714613312988777,False
SUP_0008,2023-12-01,Financial Instability,High,0.2658023553142235,False
SUP_0008,2024-02-07,Labor Disputes,Critical,0.2368938549000456,True
SUP_0009,2025-09-21,Trade Restrictions,Low,0.8232431818973817,True
SUP_0010,2024-05-30,Supply Chain Disruption,Medium,0.48474071912855365,True
SUP_0010,2024-03-27,Natural Disaster,Low,0.6037801152745443,True
SUP_0010,2025-02-02,Financial Instability,Critical,0.901232247716022,True
SUP_0010,2024-06-03,Regulatory Changes,High,0.268670749687824,False
SUP_0010,2023-12-09,Labor Disputes,Medium,0.58671437948699,False
SUP_0011,2024-02-02,Labor Disputes,Low,0.4220184387928976,True
SUP_0011,2025-02-15,Natural Disaster,Critical,0.4016872426337855,True
SUP_0012,2024-10-12,Regulatory Changes,High,0.22777479078489452,True
SUP_0012,2024-08-04,Currency Fluctuation,Medium,0.7739437032669758,True
SUP_0013,2025-05-28,Currency Fluctuation,High,0.6707279244661631,True
SUP_0013,2025-07-12,Trade Restrictions,Medium,0.3925936138885291,True
SUP_0013,2024-07-10,Labor Disputes,High,0.2573932934583635,False
SUP_0014,2024-10-13,Currency Fluctuation,High,0.7247355161588479,True
SUP_0014,2025-02-22,Supply Chain Disruption,High,0.2913799387339865,True
SUP_0015,2024-12-11,Natural Disaster,Critical,0.6984864131283958,True
SUP_0015,2024-02-07,Financial Instability,Medium,0.7036590807152506,True
SUP_0015,2024-09-04,Natural Disaster,Medium,0.5023499894257829,True
SUP_0015,2025-10-08,Labor Disputes,Low,0.5919833981690097,True
SUP_0016,2025-01-30,Labor Disputes,Low,0.13782220765426478,False
SUP_0017,2024-04-05,Natural Disaster,High,0.7785657132371055,False
SUP_0017,2024-05-25,Labor Disputes,Low,0.9665293213666234,False
SUP_0017,2023-12-14,Natural Disaster,Critical,0.8464551983729622,True
SUP_0018,2025-05-13,Supply Chain Disruption,Low,0.5866286289804193,True
SUP_0019,2024-10-13,Trade Restrictions,Critical,0.3711387346840004,True
SUP_0020,2023-11-11,Supply Chain Disruption,Low,0.14332855238051811,False
SUP_0021,2024-12-17,Currency Fluctuation,Critical,0.3155591529185843,False
SUP_0021,2025-10-28,Supply Chain Disruption,Critical,0.6245261515751407,False
SUP_0021,2025-07-28,Geopolitical Tension,Low,0.5693011201392305,True
SUP_0021,2025-01-01,Labor Disputes,Low,0.6390806573594895,True
SUP_0023,2025-04-26,Currency Fluctuation,Critical,0.38525192901200733,True
SUP_0023,2025-05-21,Currency Fluctuation,High,0.6417310879136184,False
SUP_0023,2025-11-09,Regulatory Changes,Medium,0.6463806208468786,True
SUP_0023,2025-06-08,Labor Disputes,Low,0.7323703957769647,True
SUP_0023,2025-06-04,Currency Fluctuation,Critical,0.1938023225275129,True
SUP_0024,2025-04-13,Financial Instability,Critical,0.6706936282386982,True
SUP_0024,2024-04-11,Financial Instability,Medium,0.4256677838846249,True
SUP_0024,2024-08-18,Geopolitical Tension,High,0.22602168779798593,True
SUP_0024,2024-10-09,Financial Instability,Low,0.39821230639274574,True
SUP_0025,2024-01-03,Regulatory Changes,Critical,0.2862933205945841,True
SUP_0028,2025-04-08,Labor Disputes,Low,0.40497458440487644,False
SUP_0029,2025-10-25,Supply Chain Disruption,Low,0.45731353711347256,True
SUP_0029,2024-07-23,Financial Instability,Low,0.20245455412894126,True
SUP_0030,2025-03-08,Supply Chain Disruption,Low,0.4551184680378818,True
SUP_0030,2024-07-10,Labor Disputes,Critical,0.9168499023008995,False
SUP_0030,2025-04-08,Labor Disputes,Low,0.3784354460765039,False
SUP_0030,2025-08-29,Currency Fluctuation,Critical,0.8390784542952039,True
SUP_0030,2024-02-14,Natural Disaster,Medium,0.14602184329789067,True
SUP_0032,2025-05-22,Supply Chain Disruption,Low,0.5106128580599878,True
SUP_0032,2025-10-09,Natural Disaster,High,0.4770530111687279,False
SUP_0035,2024-06-30,Natural Disaster,Low,0.10911806562496905,True
SUP_0035,2024-12-07,Supply Chain Disruption,Low,0.6513161215103372,False
SUP_0035,2024-07-07,Labor Disputes,Medium,0.20850257476332124,False
SUP_0035,2025-04-10,Supply Chain Disruption,High,0.5805707252929874,True
SUP_0037,2024-09-22,Financial Instability,High,0.6194798980610957,True
SUP_0039,2024-07-20,Labor Disputes,Low,0.7232435440023027,True
SUP_0039,2024-09-17,Natural Disaster,Low,0.3478430568298767,True
SUP_0039,2025-05-04,Geopolitical Tension,Medium,0.501777564761424,False
SUP_0040,2024-06-26,Trade Restrictions,Critical,0.4340551810938649,True
SUP_0040,2025-01-13,Labor Disputes,Critical,0.7195645166429232,True
SUP_0040,2024-02-16,Trade Restrictions,Critical,0.48747640461598685,True
SUP_0040,2024-04-07,Trade Restrictions,Low,0.4112897146640717,True
SUP_0042,2024-10-01,Supply Chain Disruption,High,0.3800957455570543,True
SUP_0042,2025-04-09,Regulatory Changes,Critical,0.428134355377786,True
SUP_0042,2025-11-09,Labor Disputes,Medium,0.5086014590765034,True
SUP_0043,2024-08-30,Trade Restrictions,Critical,0.554909606119405,False
SUP_0044,2025-04-19,Supply Chain Disruption,High,0.44918808395218257,True
SUP_0046,2025-06-13,Regulatory Changes,Medium,0.20452506418047306,False
SUP_0046,2025-10-11,Regulatory Changes,High,0.8995633050778131,True
SUP_0047,2024-03-24,Regulatory Changes,Critical,0.4063483938290552,True
SUP_0047,2025-03-02,Regulatory Changes,Low,0.5983403368222101,True
SUP_0047,2025-01-25,Supply Chain Disruption,Low,0.850284965743827,True
SUP_0047,2024-06-30,Geopolitical Tension,Medium,0.33340140758538506,True
SUP_0049,2024-09-20,Labor Disputes,High,0.6019379436250395,True
SUP_0050,2025-01-08,Natural Disaster,Low,0.6636108892789574,True
SUP_0051,2025-08-18,Geopolitical Tension,High,0.28118089704018995,True
SUP_0051,2023-11-10,Labor Disputes,Low,0.5279914337381441,True
SUP_0051,2024-07-03,Natural Disaster,High,0.9676259624489624,False
SUP_0051,2024-06-19,Natural Disaster,Medium,0.5800479658888263,False
SUP_0053,2024-04-21,Financial Instability,Critical,0.34819081142622127,False
SUP_0054,2024-10-08,Trade Restrictions,Critical,0.5350666923758319,False
SUP_0054,2025-07-12,Currency Fluctuation,High,0.4377969171276417,True
SUP_0055,2025-02-02,Natural Disaster,Critical,0.5430929320010638,True
SUP_0055,2025-02-23,Natural Disaster,Low,0.9826654092250865,True
SUP_0056,2025-04-01,Financial Instability,Critical,0.8685657702598799,True
SUP_0056,2024-07-17,Financial Instability,Low,0.9037811846758734,True
SUP_0056,2024-11-05,Supply Chain Disruption,High,0.50348714983248,True
SUP_0056,2024-10-18,Supply Chain Disruption,Low,0.9337443460570781,True
SUP_0057,2024-10-18,Supply Chain Disruption,Low,0.42284397287531217,False
SUP_0057,2025-04-17,Trade Restrictions,High,0.2896344674804828,False
SUP_0057,2024-04-23,Currency Fluctuation,High,0.9980387701137804,True
SUP_0057,2024-12-11,Financial Instability,Critical,0.36515745671157385,True
SUP_0058,2024-11-11,Trade Restrictions,Critical,0.7920305038968769,True
SUP_0058,2025-07-18,Currency Fluctuation,Low,0.861329295709959,True
SUP_0058,2025-10-09,Trade Restrictions,High,0.5388650287004898,True
SUP_0059,2025-07-20,Natural Disaster,Critical,0.19989828891218336,False
SUP_0059,2025-06-03,Regulatory Changes,Critical,0.16508482773214475,False
SUP_0060,2024-03-20,Currency Fluctuation,Medium,0.8150639900416738,False
SUP_0060,2025-04-04,Labor Disputes,Medium,0.16561165183111315,True
SUP_0061,2024-01-14,Currency Fluctuation,High,0.8231344689671961,False
SUP_0062,2024-06-17,Regulatory Changes,High,0.3034260980343998,True
SUP_0062,2024-12-14,Regulatory Changes,Low,0.6431437864390408,True
SUP_0063,2025-04-08,Financial Instability,High,0.5527755557018528,True
SUP_0064,2025-03-15,Trade Restrictions,Medium,0.31773851228397665,False
SUP_0064,2025-03-04,Labor Disputes,Low,0.8235626567972683,True
SUP_0065,2024-07-27,Currency Fluctuation,Critical,0.3442684424020429,True
SUP_0066,2024-01-21,Geopolitical Tension,High,0.14889883134061346,False
SUP_0067,2025-08-06,Geopolitical Tension,Low,0.14216671767484282,True
SUP_0068,2025-06-15,Geopolitical Tension,Critical,0.10343793039272481,True
SUP_0069,2024-05-10,Financial Instability,High,0.343353957746073,False
SUP_0069,2025-04-15,Labor Disputes,Critical,0.8100392245984065,False
SUP_0070,2024-07-08,Geopolitical Tension,High,0.5444326364112358,True
SUP_0070,2024-05-02,Natural Disaster,Low,0.733471382470898,True
SUP_0070,2025-07-28,Currency Fluctuation,Low,0.7417414455708868,True
SUP_0070,2024-04-12,Financial Instability,Critical,0.7849340112257047,False
SUP_0071,2024-03-03,Natural Disaster,High,0.6797342993283243,True
SUP_0071,2023-11-28,Regulatory Changes,Medium,0.9611198339358575,True
SUP_0072,2023-12-15,Supply Chain Disruption,High,0.432831930388459,True
SUP_0072,2024-05-18,Financial Instability,Low,0.47485398871349105,False
SUP_0073,2024-11-13,Natural Disaster,Medium,0.8921410641293366,True
SUP_0073,2025-02-26,Regulatory Changes,High,0.6469769100274503,True
SUP_0074,2025-08-31,Geopolitical Tension,High,0.38406460938701503,True
SUP_0075,2025-06-28,Labor Disputes,Low,0.3586686368190217,True
SUP_0075,2024-01-05,Financial Instability,Low,0.20036099108914876,True
SUP_0076,2024-10-28,Regulatory Changes,Medium,0.40361099209218343,True
SUP_0076,2024-09-26,Labor Disputes,Medium,0.47227840742677174,True
SUP_0077,2025-09-28,Trade Restrictions,Low,0.5176856435081535,False
SUP_0077,2025-03-13,Labor Disputes,Medium,0.7097880407130579,True
SUP_0078,2025-01-30,Regulatory Changes,Medium,0.7931423905813864,False
SUP_0078,2024-04-09,Geopolitical Tension,Low,0.3390245496627455,True
SUP_0078,2025-05-20,Regulatory Changes,Low,0.7958276865268044,True
SUP_0078,2025-05-03,Labor Disputes,Low,0.43456536541569724,True
SUP_0079,2024-09-03,Natural Disaster,Critical,0.8048785719687633,False
SUP_0079,2024-11-27,Trade Restrictions,Low,0.4582047636590526,True
SUP_0079,2024-09-15,Natural Disaster,Low,0.30541182714432924,True
SUP_0079,2024-05-17,Labor Disputes,Low,0.7726999659370246,True
SUP_0081,2024-03-03,Financial Instability,Low,0.30284314120608924,True
SUP_0081,2025-04-02,Geopolitical Tension,Low,0.660172277409397,False
SUP_0081,2025-04-27,Regulatory Changes,High,0.23226643862938873,False
SUP_0081,2023-11-14,Trade Restrictions,Critical,0.449349135514296,True
SUP_0081,2025-10-03,Natural Disaster,Low,0.41067298764478943,False
SUP_0081,2025-06-15,Trade Restrictions,Medium,0.522989441342143,False
SUP_0082,2025-09-08,Financial Instability,Medium,0.10705743169472515,True
SUP_0083,2025-06-30,Geopolitical Tension,Medium,0.576693751551058,True
SUP_0084,2025-09-27,Supply Chain Disruption,Medium,0.8262689417955943,True
SUP_0084,2024-01-31,Geopolitical Tension,Medium,0.4895344019885224,True
SUP_0085,2025-07-06,Labor Disputes,Low,0.14498112579371086,False
SUP_0086,2024-10-05,Natural Disaster,Critical,0.995337364569356,False
SUP_0086,2024-04-27,Geopolitical Tension,Medium,0.6125858016103933,True
SUP_0086,2024-03-25,Financial Instability,Medium,0.6342048418409073,True
SUP_0086,2025-07-26,Supply Chain Disruption,Medium,0.983060053086065,True
SUP_0086,2025-05-03,Natural Disaster,Low,0.9171089144016574,False
SUP_0087,2024-12-16,Trade Restrictions,Medium,0.7464980578348036,True
SUP_0087,2024-11-04,Financial Instability,High,0.6999404311419573,True
SUP_0087,2023-12-19,Trade Restrictions,Medium,0.7944642198807469,True
SUP_0087,2025-01-15,Financial Instability,Low,0.10813462217136297,True
SUP_0088,2024-05-21,Trade Restrictions,Medium,0.38950299069359373,False
SUP_0088,2025-10-22,Trade Restrictions,Critical,0.18585934958188957,True
SUP_0090,2025-08-29,Financial Instability,Medium,0.4580529629519412,False
SUP_0090,2024-02-12,Natural Disaster,Low,0.1404201690960543,False
SUP_0091,2024-10-29,Natural Disaster,High,0.9558357350522936,True
SUP_0091,2024-02-21,Supply Chain Disruption,Low,0.8087941772729014,True
SUP_0092,2025-07-24,Geopolitical Tension,Low,0.2724336511613432,False
SUP_0092,2024-11-04,Labor Disputes,High,0.5553621169614386,True
SUP_0095,2025-04-11,Regulatory Changes,Critical,0.6234600636902742,True
SUP_0095,2024-12-26,Natural Disaster,Low,0.565028546703641,False
SUP_0096,2025-01-17,Currency Fluctuation,High,0.9518108618353649,False
SUP_0097,2025-02-14,Labor Disputes,Low,0.6320172729326649,True
SUP_0097,2024-07-13,Natural Disaster,Critical,0.8695271814579416,True
SUP_0097,2025-06-18,Financial Instability,High,0.1621068333515347,False
SUP_0098,2025-10-02,Geopolitical Tension,Low,0.7940105342666979,True
SUP_0098,2024-10-18,Natural Disaster,Medium,0.8882947751653513,True
SUP_0098,2025-02-27,Trade Restrictions,Critical,0.4827053668939245,True
SUP_0098,2025-08-04,Supply Chain Disruption,Low,0.7889920754642747,True
SUP_0099,2025-05-21,Geopolitical Tension,Critical,0.3035127981247048,True
SUP_0099,2025-10-02,Regulatory Changes,Critical,0.3073749959056149,True
SUP_0100,2024-12-06,Currency Fluctuation,Low,0.8635828411814722,True
SUP_0100,2024-10-06,Geopolitical Tension,Medium,0.39276562062072806,False
SUP_0100,2025-08-16,Natural Disaster,High,0.26345257098094244,True
